#GENE	1_S31	3_S32	4_S33	6_S34
1700014L14Rik	1	0	0	0
1700015C15Rik	0	0	0	0
1700015C17Rik	1	0	0	0
1700015F17Rik	0	0	1	0
1700015G11Rik	0	0	1	0
1700015H07Rik	0	0	0	1
1700015I17Rik	1	0	0	0
1700015O11Rik	0	0	0	0
1700016A09Rik	1	0	0	0
1700016B01Rik	0	0	0	0
1700016B15Rik	1	1	2	0
1700016C15Rik	1	1	2	1
1700016D06Rik	1	0	0	0
1700016D08Rik	0	0	0	0
1700016F12Rik	184	163	188	128
1700016G22Rik	1	0	0	0
1700016H03Rik	1	1	0	0
1700016H13Rik	51	24	21	17
1700016J18Rik	0	0	1	2
1700016K05Rik	0	0	0	0
1700016K19Rik	14	5	7	2
1700016L21Rik	0	0	0	0
1700016P03Rik	5	2	3	3
1700016P04Rik	0	0	0	0
1700017B05Rik	2563	2388	1874	2428
1700017G19Rik	0	1	0	0
1700017I07Rik	0	0	0	0
1700017J07Rik	0	0	0	0
1700017L05Rik	0	1	0	1
1700017M07Rik	0	0	0	1
1700017N19Rik	0	0	0	0
1700018A04Rik	0	0	0	0
1700018A14Rik	1	0	0	0
1700018A23Rik	4	4	1	4
1700018B08Rik	29	17	14	26
1700018B24Rik	204	131	183	161
1700018F24Rik	0	0	0	0
1700018G05Rik	2	2	3	2
1700018L02Rik	22	16	22	20
1700018M17Rik	0	1	0	0
1700018P08Rik	0	0	0	1
1700019A02Rik	2	1	1	3
1700019A23Rik	4	3	4	4
1700019C18Rik	0	0	2	1
1700019D03Rik	45	31	34	42
1700019E08Rik	0	0	0	0
1700019F05Rik	0	0	0	0
1700019G24Rik	4	0	2	1
1700019J19Rik	1	0	0	0
1700019L13Rik	2	1	2	0
1700019M22Rik	0	0	0	0
1700019N19Rik	55	80	48	34
1700019P21Rik	0	0	0	0
1700020A23Rik	4	9	4	1
1700020D05Rik	9	5	7	11
1700020D12Rik	0	0	0	0
1700020G03Rik	0	0	0	0
1700020G17Rik	10	4	6	9
1700020L24Rik	3	8	5	1
1700020M21Rik	0	0	0	0
1700020N01Rik	1	0	0	0
1700020N15Rik	0	0	0	0
1700020N18Rik	0	0	1	0
1700021A07Rik	0	0	0	0
1700021F02Rik	1	0	0	0
1700021F07Rik	0	0	1	3
1700021F13Rik	0	0	0	0
1700021G15Rik	0	0	0	0
1700021J08Rik	7	5	2	6
1700021L23Rik	0	0	0	0
1700021N21Rik	0	1	4	1
1700021P04Rik	0	0	0	0
1700022A21Rik	1	0	0	0
1700022A22Rik	0	0	0	0
1700022E09Rik	0	0	0	0
1700022H01Rik	2	0	1	2
1700022H16Rik	0	0	0	0
1700022I11Rik	7	0	4	1
1700022N22Rik	11	16	9	9
1700023B13Rik	1	0	2	2
1700023C21Rik	0	0	0	0
1700023F02Rik	0	0	0	0
1700023G09Rik	0	0	0	0
1700023H06Rik	62	21	25	26
1700024B05Rik	0	0	2	1
1700024B18Rik	0	1	0	0
1700024G13Rik	0	0	0	0
1700024I08Rik	1	2	1	0
1700024J04Rik	1	0	1	0
1700025A08Rik	0	0	0	0
1700025B11Rik	3	1	3	1
1700025C18Rik	0	0	0	0
1700025D23Rik	0	0	3	0
1700025F24Rik	9	2	8	10
1700025G04Rik	931	879	1042	1115
1700025H01Rik	3	1	0	1
1700025J12Rik	0	0	0	0
1700025K04Rik	0	1	0	0
1700025K24Rik	0	0	0	0
1700025L06Rik	0	0	0	0
1700025M24Rik	4	1	0	0
1700025N21Rik	2	1	5	1
1700025N23Rik	0	0	2	1
1700025O08Rik	0	0	0	0
1700026D11Rik	2	0	0	0
1700026F02Rik	0	0	0	0
1700026J12Rik	0	0	0	0
1700026J14Rik	4	2	2	0
1700026N04Rik	5	9	2	3
1700027A07Rik	1	2	3	1
1700027A15Rik	0	0	0	0
1700027F06Rik	0	0	0	0
1700027F09Rik	0	0	0	0
1700027H10Rik	0	1	0	0
1700027I24Rik	0	0	0	0
1700027J07Rik	0	1	1	0
1700028B04Rik	0	0	0	1
1700028D13Rik	0	0	0	0
1700028E10Rik	95	95	112	92
1700028I16Rik	12	14	15	6
1700028J19Rik	28	20	28	25
1700028K03Rik	14	6	17	5
1700028M03Rik	0	0	0	1
1700028N14Rik	0	1	0	0
1700028P14Rik	3	6	5	14
1700028P15Rik	0	0	0	0
1700029B22Rik	0	1	0	0
1700029B24Rik	0	0	0	0
1700029E06Rik	0	0	0	0
1700029F12Rik	10	2	6	7
1700029H14Rik	2	2	1	0
1700029I15Rik	23	31	33	39
1700029J03Rik	0	0	0	0
1700029J07Rik	81	73	80	99
1700029M03Rik	0	0	0	0
1700029M20Rik	0	0	0	0
1700029N11Rik	0	0	0	0
1700029P11Rik	5	3	2	1
1700030A11Rik	2	0	0	1
1700030C10Rik	1	18	2	12
1700030C12Rik	1	0	1	0
1700030C14Rik	0	1	0	0
1700030E10Rik	0	0	0	0
1700030F04Rik	0	0	0	0
1700030I03Rik	3	1	2	5
1700030J22Rik	188	134	193	206
1700030K09Rik	663	562	486	753
1700030L20Rik	0	0	1	0
1700030L22Rik	0	0	0	0
1700030M09Rik	0	2	0	1
1700030N03Rik	2	2	1	2
1700030N18Rik	0	0	0	0
1700030O20Rik	1	1	1	1
1700031A10Rik	0	0	0	0
1700031F05Rik	0	0	0	0
1700031F10Rik	0	0	0	0
1700031L13Rik	0	0	0	0
1700031M16Rik	1	0	0	1
1700031P21Rik	0	0	0	0
1700034B16Rik	0	0	0	0
1700034E13Rik	0	0	0	0
1700034G24Rik	0	0	0	0
1700034H15Rik	23	26	20	20
1700034I23Rik	0	0	1	1
1700034J04Rik	0	0	0	0
1700034J05Rik	2	0	0	0
1700034K08Rik	31	20	11	16
1700034P13Rik	11	5	9	3
1700036A12Rik	2	1	0	0
1700036G14Rik	0	0	0	0
1700036O09Rik	0	0	0	0
1700037C06Rik	0	0	0	0
1700037C18Rik	87	79	61	89
1700037F03Rik	2	0	0	0
1700037H04Rik	1077	939	738	862
1700039E22Rik	0	0	0	0
1700039I01Rik	0	0	0	0
1700039M10Rik	0	2	0	0
1700039M15Rik	0	0	0	0
1700040D17Rik	4	3	5	4
1700040E09Rik	0	0	0	0
1700040F15Rik	0	0	0	0
1700040F17Rik	0	0	0	0
1700040K01Rik	0	0	0	0
1700040L08Rik	2	2	0	0
1700041B01Rik	0	0	0	0
1700041C23Rik	0	0	0	0
1700041G16Rik	0	0	0	0
1700041I07Rik	0	0	0	0
1700041M05Rik	0	0	0	0
1700041M19Rik	0	0	3	1
1700042D02Rik	0	1	0	1
1700042G07Rik	0	0	0	0
1700042G15Rik	0	1	0	0
1700042O05Rik	0	0	0	0
1700042O10Rik	0	1	0	0
1700044C05Rik	2	1	3	4
1700044K03Rik	0	0	0	0
1700045H11Rik	0	0	0	0
1700045I11Rik	0	0	0	0
1700046C09Rik	0	0	0	0
1700047A11Rik	1	0	0	0
1700047E10Rik	0	0	0	0
1700047F07Rik	1	0	1	2
1700047G03Rik	0	1	0	0
1700047G07Rik	0	2	2	1
1700047K16Rik	7	5	9	5
1700047L14Rik	0	0	0	0
1700047M11Rik	7	1	0	0
1700047N06Rik	0	0	0	1
1700047O18Rik	1	0	0	0
1700048F04Rik	0	0	0	0
1700048M11Rik	27	18	15	27
1700048O14Rik	1	0	0	0
1700048O20Rik	195	129	190	98
1700048P04Rik	0	0	0	0
1700049E15Rik	0	0	1	0
1700049E17Rik1	0	0	0	0
1700049E17Rik2	0	0	0	0
1700049E22Rik	0	0	0	0
1700049L16Rik	0	0	0	0
1700051A21Rik	0	0	0	0
1700051K13Rik	1	0	1	1
1700051O22Rik	0	0	0	0
1700052H01Rik	0	1	1	2
1700052I22Rik	0	0	0	0
1700052K11Rik	186	164	126	120
1700054A03Rik	1	0	2	2
1700054K02Rik	0	0	0	0
1700054K19Rik	0	0	0	0
1700054M17Rik	0	0	0	0
1700054O05Rik	0	0	0	0
1700054O19Rik	0	0	2	0
1700055C04Rik	0	0	0	0
1700055D18Rik	20	19	28	16
1700056E22Rik	20	17	21	10
1700056N10Rik	11	10	11	10
1700057G04Rik	0	2	0	0
1700057H15Rik	0	0	0	0
1700057H21Rik	0	0	8	0
1700058P15Rik	21	29	24	21
1700060C16Rik	0	2	0	0
1700060C20Rik	0	0	1	0
1700060J05Rik	24	11	15	15
1700060O08Rik	2	0	0	1
1700061A03Rik	2	4	2	6
1700061E17Rik	5	1	2	5
1700061E18Rik	0	0	1	0
1700061F12Rik	3	1	1	3
1700061H18Rik	10	3	14	24
1700061I17Rik	0	0	0	0
1700061J23Rik	0	0	0	0
1700061N14Rik	1	0	0	0
1700062C10Rik	0	0	0	0
1700063A18Rik	0	0	0	0
1700063D05Rik	1	0	3	0
1700063H04Rik	2	0	0	0
1700063H06Rik	0	0	0	0
1700063I16Rik	0	0	0	0
1700063J08Rik	5	3	4	4
1700063K16Rik	0	0	0	0
1700063O14Rik	1	0	0	0
1700064H15Rik	5	3	0	0
1700064J06Rik	0	0	0	0
1700064M15Rik	1	0	0	2
1700065D16Rik	3	3	3	2
1700065I16Rik	0	1	0	1
1700065J11Rik	0	0	1	0
1700065J18Rik	0	1	1	1
1700065L07Rik	0	0	0	0
1700065O20Rik	0	0	0	0
1700066B17Rik	17	10	20	4
1700066B19Rik	0	2	1	2
1700066C05Rik	2	1	0	2
1700066J03Rik	1	2	4	5
1700066M21Rik	419	358	323	387
1700066N21Rik	0	0	0	0
1700066O22Rik	9	16	5	7
1700067G17Rik	2	0	0	3
1700067K01Rik	180	118	152	154
1700067P10Rik	0	0	0	0
1700069B07Rik	2	0	0	0
1700069L16Rik	0	1	0	1
1700069P05Rik	0	0	0	0
1700071G01Rik	0	0	0	0
1700071K01Rik	0	0	0	0
1700071M16Rik	0	0	3	0
1700072B07Rik	0	0	0	0
1700072G22Rik	1	0	0	0
1700072O05Rik	0	0	0	0
1700073E17Rik	3	6	2	5
1700074A21Rik	0	0	0	0
1700074H08Rik	0	0	0	0
1700074P13Rik	0	0	0	0
1700080C20Rik	0	0	0	0
1700080N15Rik	0	1	0	0
1700080O16Rik	0	2	4	8
1700081B01Rik	0	0	0	0
1700081H04Rik	0	0	0	0
1700081N11Rik	2	2	5	2
1700082M22Rik	0	3	2	1
1700083H02Rik	0	0	0	0
1700084C06Rik	0	0	0	0
1700084D21Rik	0	0	0	0
1700084E18Rik	16	11	9	5
1700084F23Rik	10	6	11	8
1700084J12Rik	0	0	1	2
1700084M14Rik	0	0	0	0
1700085C21Rik	1	0	0	0
1700085D07Rik	1	1	0	1
1700086D15Rik	1	1	3	0
1700086L19Rik	3	0	1	1
1700086O06Rik	74	92	75	77
1700086P04Rik	11	7	6	4
1700087I21Rik	3	4	4	4
1700087M22Rik	0	0	0	0
1700088E04Rik	39	29	38	33
1700091H14Rik	0	0	0	0
1700092C02Rik	0	0	0	0
1700092C10Rik	0	0	0	0
1700092C17Rik	0	0	0	0
1700092E16Rik	0	0	0	0
1700092E19Rik	0	0	0	0
1700092K14Rik	2	0	0	0
1700092M07Rik	9	7	6	8
1700093J21Rik	5	0	0	3
1700093K21Rik	16	10	13	21
1700094D03Rik	30	32	38	33
1700094J05Rik	2	1	0	0
1700094M23Rik	0	0	1	0
1700094M24Rik	0	0	0	0
1700095A13Rik	0	1	4	4
1700095A21Rik	0	0	0	0
1700095B10Rik	0	0	0	0
1700095J03Rik	3	8	5	6
1700095J07Rik	0	0	0	0
1700095J12Rik	0	0	0	0
1700095K22Rik	0	0	0	0
1700096J18Rik	0	0	0	0
1700096K18Rik	33	43	31	33
1700097M23Rik	0	0	0	0
1700097N02Rik	6	3	1	3
1700099I09Rik	2	2	3	2
1700100I10Rik	0	0	0	0
1700100L14Rik	0	0	0	0
1700101I11Rik	9	5	17	7
1700101I19Rik	0	0	0	0
1700101O22Rik	0	0	0	0
1700102F20Rik	0	0	0	0
1700102H20Rik	2	6	4	4
1700102P08Rik	9	11	17	12
1700104B16Rik	3	1	3	1
1700104L18Rik	0	0	0	0
1700105G05Rik	0	0	0	0
1700105P06Rik	11	5	6	5
1700106O07Rik	0	0	0	0
1700108F19Rik	15	17	28	16
1700108J01Rik	0	0	1	0
1700108N06Rik	0	0	0	0
1700108N11Rik	0	0	0	0
1700109G14Rik	2	1	0	1
1700109G15Rik	0	0	0	0
1700109H08Rik	46	25	28	34
1700109I08Rik	0	0	0	0
1700109K24Rik	20	16	22	25
1700110C19Rik	9	4	8	8
1700110I01Rik	0	0	0	0
1700110I07Rik	0	0	0	0
1700110K17Rik	3	3	6	6
1700111E14Rik	0	0	0	0
1700111N16Rik	0	1	0	2
1700112D23Rik	0	4	8	3
1700112H15Rik	15	4	6	1
1700112J05Rik	3	0	2	0
1700112J16Rik	4	4	8	3
1700112K13Rik	0	0	0	0
1700112L15Rik	0	0	0	0
1700112M02Rik	0	0	0	0
1700113A16Rik	91	91	71	57
1700113B09Rik	1	0	0	0
1700113B19Rik	0	0	0	0
1700113H08Rik	0	0	0	0
1700116B05Rik	14	3	23	22
1700116H05Rik	0	0	3	0
1700119H24Rik	18	11	7	6
1700119I11Rik	0	0	0	0
1700120B22Rik	0	0	1	0
1700120C14Rik	24	15	9	7
1700120C18Rik	0	0	0	0
1700120E14Rik	0	0	0	0
1700120G07Rik	0	0	0	0
1700120G11Rik	1	0	0	0
1700120K04Rik	0	0	0	0
1700120O09Rik	0	0	0	0
1700121C08Rik	0	0	0	1
1700121L03Rik	0	0	0	0
1700121L16Rik	0	0	0	0
1700121N20Rik	0	0	0	0
1700122C19Rik	0	0	0	0
1700122D07Rik	0	0	0	0
1700122E12Rik	1	3	1	1
1700122H20Rik	0	0	0	0
1700122O11Rik	0	0	0	0
1700123J17Rik	0	0	0	0
1700123K08Rik	0	2	4	1
1700123L14Rik	0	0	0	0
1700123M08Rik	104	92	104	82
1700123O12Rik	0	0	0	0
1700123O20Rik	867	843	704	787
1700123O21Rik	0	0	1	1
1700124L16Rik	13	6	5	13
1700124M09Rik	0	0	0	0
1700125G02Rik	0	0	0	0
1700125G22Rik	0	0	1	1
1700125H03Rik	1	2	0	1
1700125H20Rik	2	0	0	1
1700126A01Rik	0	0	0	0
1700126G02Rik	7	3	14	13
1700126H18Rik	1	0	0	0
1700127F24Rik	0	0	0	0
1700128A07Rik	0	0	0	1
1700128E19Rik	0	0	1	0
1700128F08Rik	0	0	0	0
1700128I11Rik	0	0	0	0
1700129C05Rik	0	0	0	0
1700129L04Rik	3	4	4	2
1810006J02Rik	6	9	12	8
1810007C17Rik	2	1	0	1
1810007D17Rik	0	0	0	1
1810008B01Rik	0	0	4	0
1810008I18Rik	3	3	1	0
1810009A15Rik	21	12	22	23
1810009J06Rik	3	1	0	0
1810010H24Rik	48	37	50	36
1810010K12Rik	0	1	0	0
1810012K08Rik	30	35	18	39
1810012K16Rik	7	3	4	3
1810013D15Rik	1	3	0	1
1810013L24Rik	1409	1431	1259	1243
1810014B01Rik	133	152	150	174
1810014P07Rik	3	0	5	1
1810017P11Rik	0	0	0	0
1810018F18Rik	0	0	0	0
1810019D21Rik	76	66	98	78
1810019N24Rik	13	14	8	20
1810020O05Rik	0	4	0	5
1810021B22Rik	53	35	37	44
1810024B03Rik	79	90	72	64
1810026B05Rik	1108	858	833	897
1810028F09Rik	46	27	10	8
1810030O07Rik	1394	1303	1092	1146
1810034E14Rik	57	88	56	51
1810035K13Rik	0	2	2	6
1810037I17Rik	1197	1080	857	971
1810041H14Rik	12	10	10	8
1810044D09Rik	61	65	43	38
1810044K17Rik	0	0	0	0
1810046K07Rik	4	1	4	2
1810049I09Rik	0	0	0	0
1810049J17Rik	0	0	0	0
1810053B23Rik	5	3	2	4
1810055G02Rik	1664	1267	1074	1498
1810058I24Rik	2678	2165	2393	2410
1810058N15Rik	1	1	1	0
1810059C17Rik	2	3	8	0
1810059H22Rik	10	11	26	9
1810062G17Rik	4	6	4	1
1810062O18Rik	17	14	15	19
1810063I02Rik	12	5	4	10
1810064F22Rik	30	29	44	41
1810065E05Rik	126	101	220	152
1810073O08Rik	5	2	3	2
2010001A14Rik	86	73	95	85
2010001K21Rik	191	120	194	114
2010001M07Rik	0	0	0	0
2010003K11Rik	4	7	1	1
2010007H06Rik	60	50	23	35
2010008C14Rik	2	1	0	1
2010009K17Rik	2	0	4	1
2010010A06Rik	1	0	1	0
2010013B24Rik	0	0	0	0
2010016I18Rik	6	2	4	0
2010103J01Rik	1	3	7	5
2010106C02Rik	0	0	0	0
2010106E10Rik	1	0	1	0
2010106G04Rik	4	0	1	5
2010109A12Rik	0	1	1	1
2010109P13Rik	0	1	0	1
2010110E17Rik	1	1	0	1
2010110G14Rik	0	1	0	0
2010110K18Rik	31	17	33	38
2010203P06Rik	0	0	0	0
2010204K13Rik	118	128	55	122
2010300C02Rik	34	20	27	22
2010308F09Rik	2	3	7	2
2010309G21Rik	0	1	0	0
2010310C07Rik	1	0	2	0
2010315B03Rik	344	309	298	259
2010320M18Rik	250	225	167	178
2010320O07Rik	0	0	0	0
2200002A13Rik	1	0	0	1
2200002D01Rik	48	38	30	27
2200002J24Rik	46	33	42	34
2200007N16Rik	0	0	0	0
2210009P08Rik	20	10	17	15
2210010C04Rik	0	1	0	0
2210011K15Rik	0	0	0	1
2210016F16Rik	936	779	637	754
2210016L21Rik	951	845	779	827
2210017I01Rik	0	0	0	0
2210020O09Rik	1	0	0	0
2210039B01Rik	0	1	1	0
2210404E10Rik	17	7	21	7
2210406H18Rik	5	3	9	11
2210406O10Rik	110	70	95	84
2210407C18Rik	0	1	0	0
2210408F21Rik	20	26	18	22
2210408I21Rik	255	232	238	307
2210409D07Rik	0	0	0	0
2210409E12Rik	14	25	1	2
2210411M09Rik	2	2	2	5
2210412B16Rik	5	5	7	8
2210414B05Rik	0	0	0	0
2210414F02Rik	0	0	0	0
2210417A02Rik	2	8	5	7
2210418O10Rik	0	0	0	0
2210420H20Rik	0	0	0	0
2300002M23Rik	45	22	52	33
2300003K06Rik	0	0	0	0
2300009A05Rik	133	120	92	126
2310001H17Rik	109	54	51	43
2310001K20Rik	0	0	0	0
2310001K24Rik	1	1	2	7
2310002D06Rik	0	0	0	0
2310002F09Rik	1	0	0	1
2310002L09Rik	0	0	0	0
2310003L06Rik	14	6	8	8
2310003N18Rik	0	0	0	0
2310005A03Rik	0	0	0	0
2310005E17Rik	0	0	2	0
2310008N11Rik	17	3	22	13
2310009B15Rik	260	226	202	231
2310010J17Rik	60	50	35	38
2310011J03Rik	1142	925	802	932
2310014F06Rik	21	16	21	13
2310015A10Rik	321	371	275	268
2310015A16Rik	0	0	0	1
2310015D24Rik	1	2	2	0
2310015K22Rik	18	9	10	10
2310016D03Rik	0	0	0	0
2310016D23Rik	0	0	0	0
2310016G11Rik	1	0	1	0
2310020H05Rik	29	10	17	40
2310022A10Rik	739	620	564	623
2310022B05Rik	2769	2604	1841	2270
2310026I22Rik	0	0	0	0
2310026L22Rik	8	17	7	1
2310030A07Rik	0	0	0	0
2310030G06Rik	158	126	116	133
2310033P09Rik	656	415	480	578
2310034C09Rik	0	0	0	0
2310034G01Rik	18	13	13	15
2310034O05Rik	0	0	0	0
2310039H08Rik	299	213	203	255
2310039L15Rik	9	5	6	5
2310040G07Rik	22	27	23	17
2310040G24Rik	69	50	74	76
2310043L19Rik	0	0	1	0
2310043M15Rik	3	2	3	3
2310043O21Rik	0	3	1	0
2310043P16Rik	51	59	29	46
2310044K18Rik	0	0	0	0
2310046K23Rik	0	0	0	0
2310047D07Rik	4	5	5	1
2310050C09Rik	0	0	0	0
2310057J18Rik	0	0	0	0
2310057M21Rik	662	470	473	556
2310057N15Rik	0	0	0	0
2310058D17Rik	55	44	73	77
2310061I04Rik	725	467	425	636
2310061N02Rik	0	0	0	0
2310065F04Rik	0	0	0	0
2310067P03Rik	0	0	0	0
2310068J16Rik	18	16	11	7
2310069B03Rik	10	3	14	4
2310074N15Rik	0	3	8	4
2310075C17Rik	0	0	0	0
2310079G19Rik	0	0	0	0
2310081O03Rik	0	0	0	0
2400006E01Rik	0	0	0	0
2410002F23Rik	2817	1987	2121	2468
2410003I16Rik	0	0	0	0
2410003L11Rik	2	5	2	1
2410004B18Rik	557	494	455	511
2410004I01Rik	7	2	1	2
2410004P03Rik	3	6	10	0
2410006H16Rik	1579	1498	1402	1233
2410012E07Rik	0	0	0	0
2410017I17Rik	0	0	2	0
2410018L13Rik	0	35	0	33
2410021H03Rik	12	6	5	9
2410022M11Rik	33	27	30	32
2410024N13Rik	0	0	0	0
2410080I02Rik	3	2	1	2
2410124H12Rik	0	1	0	0
2410131K14Rik	1512	1231	1566	1825
2410137M14Rik	2	2	1	3
2410141K09Rik	26	16	21	12
2410152P15Rik	1	0	3	2
2500002B13Rik	193	134	191	156
2500004C02Rik	219	176	211	213
2510002D24Rik	250	238	250	185
2510009E07Rik	1561	1657	1725	1617
2510016D11Rik	41	64	45	43
2510017J16Rik	12	6	13	8
2510039O18Rik	2807	2343	1932	2169
2510046G10Rik	26	26	33	27
2600002D14Rik	0	1	0	3
2600006K01Rik	7	14	9	9
2600014E21Rik	4	4	1	5
2610001A08Rik	1	0	0	0
2610001J05Rik	725	728	620	639
2610002M06Rik	1373	1335	1120	1064
2610005L07Rik	146	154	109	168
2610008E11Rik	1321	1521	1512	1466
2610011E03Rik	4	1	1	0
2610012C04Rik	1	0	2	0
2610016A17Rik	0	0	0	0
2610017A05Rik	7	4	7	9
2610020C07Rik	73	57	78	83
